40366379,BLARNEY ROCK,137 WEST 33 STREET 10001,"2129470825,40.74988643860934,-73.98999930632215
40366396,DESMOND'S TAVERN,433 PARK AVENUE SOUTH 10016,"2126849472,40.744251018670695,-73.98328488878576
40368065,FORD FOUNDATION CAFETERIA,320 EAST 43 STREET 10017,"2125734749,40.750100481752895,-73.97084396707459
40368223,OYSTER BAR,NKA GRAND CENTRAL TERMINAL 10017,"2124906650,40.753022565240315,-73.97480609582385
40368346,DA SILVANO RESTAURANT,260 6 AVENUE 10014,"2129822343,40.72904556839933,-74.00246047896712
40366661,BABY BO'S BURRITOS,627 2 AVENUE 10016,"2127792656,40.74500904013621,-73.97575678174928
40367752,GRIFFIS FACULTY CLUB,521 EAST 68 STREET 10065,"2127466100,40.76420341175913,-73.95532724165804
40366574,BLARNEY STONE,11 TRINITY PLACE 10006,"2122694988,40.70685543093447,-74.01353114774349
40368617,BOOTS & SADDLE BAR,76 CHRISTOPHER STREET 10014,"2126331986,40.7334847811988,-74.00346829522482
40368370,BENJAMIN,603 2 AVENUE 10016,"2128890750,40.74420008916388,-73.97634661740165
40368374,JIMMY'S CORNER,140 WEST 44 STREET 10036,"2122219510,40.75676430522958,-73.98472157733812
40368514,THE BACK FENCE,155 BLEECKER STREET 10012,"2124759221,40.72848652733245,-73.99975765648986
40367338,TAP ROOM,180 CENTRAL PARK SOUTH 10019,"2127677085,40.76663513000835,-73.97856748599986
40366728,THE PARK ROOM RESTAURANT,36 CENTRAL PARK SOUTH 10019,"2123714000,40.76534177450441,-73.97554499950132
40368824,DOUBLES CLUB,783 5 AVENUE 10022,"2127519595,40.764493846914604,-73.972904564793
40368897,HATSUHANA RESTAURANT,17 EAST 48 STREET 10017,"2123553345,40.75685668898609,-73.97701936155346
40368581,MARIES CRISIS CAFE,59 GROVE STREET 10014,"2122439323,40.73314717840066,-74.00335826137388
40367534,MR BROADWAY KOSHER DELI,1372 BROADWAY 10018,"2129212152,40.75238198983806,-73.98740663370836
40367038,MEXICO LINDO RESTAURANT,459 2 AVENUE 10010,"2126793665,19.32391525500043,-99.24256016199968
40369097,NADA-SUSHI,135 EAST 50 STREET 10022,"2128382537,44.861184325000465,7.792973403000417
